Team,Name,Position,College,Vet
Green Bay Packers,Gavin Stewart,K,Georgia Southern,
Green Bay Packers,Taylor Elgersma,QB,Wilfrid Laurier,
Green Bay Packers,Brendan Hall,P,Montana State,
Green Bay Packers,Jack Struder,WR,Wisconsin-LA Crosse,
Green Bay Packers,Xander Mueller,LB,Northwestern,
Green Bay Packers,Luke Gunderson,LB,Northern State,
Green Bay Packers,Connor Shay,LB,Wyoming,
Green Bay Packers,Van Fillinger,DL,Utah,
Green Bay Packers,Gage King,LS,Central Florida,
Green Bay Packers,Jaden Smith,WR,Nevada,
Green Bay Packers,Ali Jennigns,WR,VA Tech,
Philadelphia Eagles,Ahmarean Brown, WR, South Carolina,Y
Philadelphia Eagles,Malik Knowles, WR, Kansas State,Y
Philadelphia Eagles,Michael Dogbe, IDL, Temple,Y
Philadelphia Eagles,Niko Lalos, LS, Dartmouth,Y
Philadelphia Eagles,Jacquez Stuart,RB,Toledo,
Philadelphia Eagles,Ife Adeyi,WR,Sam Houston,
Philadelphia Eagles,Nashir Morgan,WR,Delaware Valley,
Philadelphia Eagles,Giles Jackson,WR,Washington,
Philadelphia Eagles,Dalevon Campbell,WR,South Carolina,
Philadelphia Eagles,Drake Dabney,TE,TCU,
Philadelphia Eagles,Holden Willis,TE,Middle Tennessee State,
Philadelphia Eagles,Marcus Tate,OL,Clemson,
Philadelphia Eagles,Quinn Carroll,OL,Minnesota,
Philadelphia Eagles,Andrej Karic,OL,Tennessee,
Philadelphia Eagles,Anthony Campbell,DL,Miami,
Philadelphia Eagles,Kaimon Rucker,LB,UNC,
Philadelphia Eagles,RJ Moten,LB,Florida,
Philadelphia Eagles,Antonio Doyle,LB,UNLV,
Philadelphia Eagles,Ryan Meed,LB,Illinois,
Philadelphia Eagles,Carsen Patty,LB,Australia,
Philadelphia Eagles,Chico Bennett,LB,Virginia,
Philadelphia Eagles,Nico Toomer,DB,Indiana,
Philadelphia Eagles,Ridge Texada,DB,North Texas,
Philadelphia Eagles,Wyatt Ekeler,DB,Wyoming,
Philadelphia Eagles,Isaiah Greene,DB,Campbell,
Philadelphia Eagles,Trey Jones,DB,Texas A&M,
Philadelphia Eagles,Jordan Wright,DB,UConn,
Philadelphia Eagles,Kai Kroger,P,South Carolina,
Dallas Cowboys,Donovan Smith,QB,Houston,
Seattle Seahawks,Isaiah Hamilton,CB,Mississippi,
Seattle Seahawks,De'Rickey Wright,S,Vanderbilt,
Seattle Seahawks,Kam Alexander,CB,Oregon,
Seattle Seahawks,Will Rogers,QB,Washington,
Seattle Seahawks,Michael Love,WR,Long Island,
Seattle Seahawks,Steve Linton,LB,Baylor,
Seattle Seahawks,Zach Patterson,WR,Central Missouri,
Seattle Seahawks,John Rhys Plumlee,WR,Central Florida,Y
Seattle Seahawks,Donovan Kaufman,RB,North Carolina State,
Seattle Seahawks,Shamari Simmons,S,Arizona State,
Seattle Seahawks,K.J. Wallace,CB,UCLA,
Seattle Seahawks,Kobe Pace,RB,Virginia,
Seattle Seahawks,Tyreese Shakir,S,Portland State,
Seattle Seahawks,Julian Barnett,CB,Memphis,
Seattle Seahawks,Cam Stone,CB,Hawaii,
Seattle Seahawks,Tanner Volk,S,Central Washington,
Seattle Seahawks,Michael Batton,LB,Houston,
Seattle Seahawks,Wesley Steiner,FB,Washington State,
Seattle Seahawks,Bryzai White,TE,Northern Arizona,
Seattle Seahawks,Alphonzo Tuputala,LB,Washington,
Seattle Seahawks,D'Eryk Jackson,LB,Kentucky,
Seattle Seahawks,Matt Jaworski,LB,Fordham,
Seattle Seahawks,Nana Osafo-Mensah,DE,TCU,
Seattle Seahawks,Tevin Shipp,LB,Tennessee Martin,
Seattle Seahawks,Jalil Clemons,LB,Southern Missouri,
Seattle Seahawks,Connor Pay,C/G,BYU,
Seattle Seahawks,Marcus Wehr,C/G,Montana State,
Seattle Seahawks,Javontez Spraggins,G,Tennessee,
Seattle Seahawks,Tyler Elsbury,C,Iowa,
Seattle Seahawks,AJ Gillie,G,Louisiana-Lafayette,
Seattle Seahawks,Luke Felix-Fualalo,OT,Hawaii,
Seattle Seahawks,Brandon Casey,OT,Montana,
Seattle Seahawks,Mose Vavao,C,Fresno State,
Seattle Seahawks,Jalen Mayfield,G,Michigan,Y
Seattle Seahawks,Joey Hobert,WR,Texas State,
Seattle Seahawks,Montana Lemonius-Craig,WR,Arizona,
Seattle Seahawks,Thomas Burke,TE,New Jersey,
Seattle Seahawks,Montorie Foster,WR,Michigan State,
Seattle Seahawks,Sean Martin,DE,West Virginia,
Seattle Seahawks,Makius Scott,DE,Georgia Southern,
Seattle Seahawks,Shane Cokes,DE,Colorado,
Seattle Seahawks,Rylie Mills,DE,Notre Dame,
Seattle Seahawks,Brandon Brown,NT,Texas-San Antonio,
Seattle Seahawks,Jamie Sheriff,LB,South Alabama,Y
Kansas City Chiefs,Paxton DeLaurent,QB,Southeast Missouri State,
Kansas City Chiefs,Spencer Petras,QB,Utah State,
Kansas City Chiefs,Zach Zebrowski,QB,Central Missouri,
Kansas City Chiefs,Snoop Conner,RB,Mississippi,Y
Kansas City Chiefs,Jarod Epperson,RB,Augustana-SD,
Kansas City Chiefs,Darius Hale,RB,Central Arkansas,
Kansas City Chiefs,Qualan Jones,RB,Stephen F. Austin,
Kansas City Chiefs,Dante Cephas,WR,Kansas State,
Kansas City Chiefs,Christian Dremel,WR,Rutgers,
Kansas City Chiefs,Jaaron Hayek,WR,Villanova,Y
Kansas City Chiefs,Jimmy Holiday,WR,Louisiana Tech,
Kansas City Chiefs,Mark Mahoney,WR,Brown,
Kansas City Chiefs,Monterren Parks,WR,Utah,
Kansas City Chiefs,Key'Shawn Smith,WR,SMU,
Kansas City Chiefs,Dante Wright,WR,Temple,
Kansas City Chiefs,Damien Alford,WR,Utah,
Kansas City Chiefs,Jared Casey,TE,Kansas,
Kansas City Chiefs,Jake Roberts,TE,Oklahoma,
Kansas City Chiefs,Graham Walker,TE,Rice,
Kansas City Chiefs,Gabe Clark,OL,Central Missouri,
Kansas City Chiefs,Jason Collier,OL,Pittsburgh,
Kansas City Chiefs,DeVonte Gordon,OL,Wake Forrest,
Kansas City Chiefs,Brayden Keim,OL,BYU,
Kansas City Chiefs,Vershon Lee,OL,South Carolina,
Kansas City Chiefs,Joe Lombard,C,South Dakota,
