,Date,Team,Acquired,Relinquished,Notes
1,1945-05-12,49ers (AAFC),• Frankie Albert,,signed (date approximate)
2,1946-02-18,49ers (AAFC),• Len Eshmont,,(date approximate)
3,1946-02-18,49ers (AAFC),• Norm Standlee,,(date approximate)
4,1946-02-18,49ers (AAFC),• Parker Hall,,(date approximate)
5,1946-04-03,49ers (AAFC),• Joe Remington,,signed to a 1-year contract
6,1946-04-03,49ers (AAFC),• Roy Ruskusky,,signed to a 1-year contract
7,1946-04-18,49ers (AAFC),• Eddie Forrest,,signed to a 1-year contract
8,1946-04-18,49ers (AAFC),• Nate Howard,,signed to a 1-year contract
9,1946-04-25,49ers (AAFC),• John Kuzman,,(date approximate)
10,1946-04-25,49ers (AAFC),• John Mellus / Johnny Mellus,,(date approximate)
11,1946-07-01,49ers,• Frank Albert,,(date approximate)
12,1946-07-01,49ers (AAFC),• Alyn Beals,,(date approximate)
13,1946-07-01,49ers (AAFC),• Bob Bryant,,(date approximate)
14,1946-07-01,49ers (AAFC),• Bruno Banducci,,(date approximate)
15,1946-07-01,49ers (AAFC),• Dick Bassi,,(date approximate)
16,1946-07-01,49ers (AAFC),• Ed Balatti,,(date approximate)
17,1946-12-20,49ers (AAFC),• Clyde LeForce,,1947 AAFC draft first round pick (#22 overall)
18,1946-12-20,49ers (AAFC),• Bob Weise,,1947 AAFC draft second round pick (#30 overall)
19,1946-12-20,49ers (AAFC),• Paul Duke,,1947 AAFC draft third round pick (#38 overall)
20,1946-12-20,49ers (AAFC),• Don Samuel,,1947 AAFC draft fourth round pick (#46 overall)
21,1946-12-20,49ers (AAFC),• Al Satterfield / Alf Satterfield,,1947 AAFC draft fifth round pick (#54 overall)
22,1946-12-20,49ers (AAFC),• Jack Zilly,,1947 AAFC draft sixth round pick (#62 overall)
23,1946-12-20,49ers (AAFC),• Gene Knight / Red Knight,,1947 AAFC draft seventh round pick (#70 overall)
24,1946-12-20,49ers (AAFC),• Charley Malmberg / Charlie Malmberg,,1947 AAFC draft eighth round pick (#78 overall)
25,1946-12-20,49ers (AAFC),• Robert Leonetti / Bob Leonetti,,1947 AAFC draft ninth round pick (#86 overall)
1,1946-12-20,49ers (AAFC),• Frank Broyles,,1947 AAFC draft tenth round pick (#94 overall)
2,1946-12-20,49ers (AAFC),• Jim Tyree,,1947 AAFC draft eleventh round pick (#102 overall)
3,1946-12-20,49ers (AAFC),• Ed Robnett,,1947 AAFC draft twelfth round pick (#110 overall)
4,1946-12-20,49ers (AAFC),• Walter Slater / Walt Slater,,1947 AAFC draft 13th round pick (#118 overall)
5,1946-12-20,49ers (AAFC),• Earl Wheeler,,1947 AAFC draft 14th round pick (#126 overall)
6,1946-12-20,49ers (AAFC),• Les Proctor,,1947 AAFC draft 15th round pick (#134 overall)
7,1946-12-21,49ers (AAFC),• Al DeRogatis,,1947 AAFC draft 16th round pick (#142 overall)
8,1946-12-21,49ers (AAFC),• Earl Tullos,,1947 AAFC draft 17th round pick (#148 overall)
9,1946-12-21,49ers (AAFC),• Bryant Meeks,,1947 AAFC draft 18th round pick (#154 overall)
10,1946-12-21,49ers (AAFC),• Ed Royston,,1947 AAFC draft 19th round pick (#160 overall)
11,1946-12-21,49ers (AAFC),• Max Bumgardner,,1947 AAFC draft 20th round pick (#166 overall)
12,1947-07-01,49ers (AAFC),• George Smith (William),,(date approximate)
13,1947-12-16,49ers (AAFC),• Joe Scott (a),,1948 AAFC draft first round pick (#5 overall)
14,1947-12-16,49ers (AAFC),• Jim Cason / Jimmy Cason,,1948 AAFC draft third round pick (#15 overall)
15,1947-12-16,49ers (AAFC),• Walt McCormick,,1948 AAFC draft fourth round pick (#23 overall)
16,1947-12-16,49ers (AAFC),• Fred Land,,1948 AAFC draft sixth round pick (#32 overall)
17,1947-12-16,49ers (AAFC),• Phil O'Reilly,,1948 AAFC draft seventh round pick (#38 overall)
18,1947-12-16,49ers (AAFC),• Bill Luongo,,1948 AAFC draft ninth round pick (#50 overall)
19,1947-12-16,49ers (AAFC),• Bob Steckroth,,1948 AAFC draft eleventh round pick (#62 overall)
20,1947-12-16,49ers (AAFC),• Gene Malinowski,,1948 AAFC draft twelfth round pick (#70 overall)
21,1947-12-16,49ers (AAFC),• Len Modzelski / Len Modzeleski,,1948 AAFC draft 13th round pick (#78 overall)
22,1947-12-16,49ers (AAFC),• Les Rideout,,1948 AAFC draft 14th round pick (#86 overall)
23,1947-12-16,49ers (AAFC),• Larry Olsonoski,,1948 AAFC draft 15th round pick (#94 overall)
24,1947-12-16,49ers (AAFC),• Wally Matulich,,1948 AAFC draft 16th round pick (#102 overall)
25,1947-12-16,49ers (AAFC),• Bob Ravensberg,,1948 AAFC draft 17th round pick (#110 overall)
1,1947-12-16,49ers (AAFC),• Bill Pritula,,1948 AAFC draft 18th round pick (#118 overall)
2,1947-12-16,49ers (AAFC),• Art Fitzgerald,,1948 AAFC draft 19th round pick (#126 overall)
3,1947-12-16,49ers (AAFC),• Pete Barbolak,,1948 AAFC draft 20th round pick (#134 overall)
4,1947-12-16,49ers (AAFC),• Dick Loepfe,,1948 AAFC draft 21st round pick (#142 overall)
5,1947-12-16,49ers (AAFC),• Bob Heck (a),,1948 AAFC draft 22nd round pick (#150 overall)
6,1947-12-16,49ers (AAFC),• Floyd Lanhorne,,1948 AAFC draft 23rd round pick (#158 overall)
7,1947-12-16,49ers (AAFC),• Goble Bryant,,1948 AAFC draft 24th round pick (#166 overall)
8,1947-12-16,49ers (AAFC),• Bill Talarico,,1948 AAFC draft 25th round pick (#174 overall)
9,1947-12-16,49ers (AAFC),• Everett Marshall,,1948 AAFC draft 26th round pick (#182 overall)
10,1947-12-16,49ers (AAFC),• Perry Moss,,1948 AAFC draft 27th round pick (#190 overall)
11,1947-12-16,49ers (AAFC),• Bill Bell (a),,1948 AAFC draft 28th round pick (#198 overall)
12,1947-12-16,49ers (AAFC),• Herb Siegert,,1948 AAFC draft 29th round pick (#206 overall)
13,1947-12-16,49ers (AAFC),• Frank Williams,,1948 AAFC draft 30th round pick (#214 overall)
14,1948-04-03,49ers (AAFC),• Bob Hoffman,,signed free agent
15,1948-04-03,49ers (AAFC),• Mickey Masini,,signed (date approximate)
16,1948-07-01,49ers,• Bill Johnson (Levi) / Tiger Johnson,,(date approximate)
17,1948-07-01,49ers (AAFC),,• Dick Bassi,(date approximate)
18,1948-07-01,49ers (AAFC),• Gail Bruce,,(date approximate)
19,1948-07-01,49ers (AAFC),• Roman Bentz,,(date approximate)
20,1948-07-08,49ers (AAFC),• Ernie Stautner,,1949 AAFC secret draft first round pick (#5 overall)
21,1948-07-08,49ers (AAFC),• Jim Winkler,,1949 AAFC secret draft second round pick (#13 overall)
22,1948-12-21,49ers (AAFC),• Chester Fritz / Chet Fritz,,1949 AAFC draft first round pick (#7 overall)
23,1948-12-21,49ers (AAFC),• Frank Lovuolo,,1949 AAFC draft third round pick (#20 overall)
24,1948-12-21,49ers (AAFC),• Mike DeNoia,,1949 AAFC draft fourth round pick (#28 overall)
25,1948-12-21,49ers (AAFC),• George Brodnax,,1949 AAFC draft fifth round pick (#36 overall)
1,1948-12-21,49ers (AAFC),• John Hamberger,,1949 AAFC draft sixth round pick (#44 overall)
2,1948-12-21,49ers (AAFC),• Dan Stiegman,,1949 AAFC draft seventh round pick (#52 overall)
3,1948-12-21,49ers (AAFC),• Bernie Reid,,1949 AAFC draft eighth round pick (#60 overall)
4,1948-12-21,49ers (AAFC),• Fred Wendt / Freddy Wendt,,1949 AAFC draft ninth round pick (#68 overall)
5,1948-12-21,49ers (AAFC),• Dick Flowers,,1949 AAFC draft tenth round pick (#76 overall)
6,1948-12-21,49ers (AAFC),• Bob Lund / Bobby Lund,,1949 AAFC draft eleventh round pick (#84 overall)
7,1948-12-21,49ers (AAFC),• Jon Baker (b. 1923-06-14),,1949 AAFC draft twelfth round pick (#92 overall)
