,Date,Team,Acquired,Relinquished,Notes
1,1959-11-23,Titans (AFL),• George Izo,,1960 AFL draft territorial pick
2,1959-11-23,Titans (AFL),• Angelo Coia,,1960 AFL draft pick
3,1959-11-23,Titans (AFL),• Bill Bucek,,1960 AFL draft pick
4,1959-11-23,Titans (AFL),• Blanche Martin,,1960 AFL draft pick
5,1959-11-23,Titans (AFL),• Chuck Allen,,1960 AFL draft pick
6,1959-11-23,Titans (AFL),• Curt Merz,,1960 AFL draft pick
7,1959-11-23,Titans (AFL),• Dave Ross,,1960 AFL draft pick
8,1959-11-23,Titans (AFL),• Dave Wilemon,,1960 AFL draft pick
9,1959-11-23,Titans (AFL),• Don Ellersick,,1960 AFL draft pick
10,1959-11-23,Titans (AFL),• Don Floyd (a),,1960 AFL draft pick
11,1959-11-23,Titans (AFL),• Don Perkins (Anthony),,1960 AFL draft pick
12,1959-11-23,Titans (AFL),• Don Stallings,,1960 AFL draft pick
13,1959-11-23,Titans (AFL),• Ed Kaohelaulil,,1960 AFL draft pick
14,1959-11-23,Titans (AFL),• Ed Kovac,,1960 AFL draft pick
15,1959-11-23,Titans (AFL),• Eddie Meyer (a),,1960 AFL draft pick
16,1959-11-23,Titans (AFL),• Gene Miller,,1960 AFL draft pick
17,1959-11-23,Titans (AFL),• George Genyk,,1960 AFL draft pick
18,1959-11-23,Titans (AFL),• Jackie Burkett,,1960 AFL draft pick
19,1959-11-23,Titans (AFL),• James Eifrid / Jim Eifrid / Eifi Eifrid,,1960 AFL draft pick
20,1959-11-23,Titans (AFL),• Jim Mooty,,1960 AFL draft pick
21,1959-11-23,Titans (AFL),• Jim St. Clair,,1960 AFL draft pick
22,1959-11-23,Titans (AFL),• Jim Stinnette,,1960 AFL draft pick
23,1959-11-23,Titans (AFL),• Joe Graybeal,,1960 AFL draft pick
24,1959-11-23,Titans (AFL),• Larry Grantham,,1960 AFL draft pick
25,1959-11-23,Titans (AFL),• Larry Stephens,,1960 AFL draft pick
1,1959-11-23,Titans (AFL),• Lewis Akin,,1960 AFL draft pick
2,1959-11-23,Titans (AFL),• Mick Patella,,1960 AFL draft pick
3,1959-11-23,Titans (AFL),• Mike Magac / Mike Magas,,1960 AFL draft pick
4,1959-11-23,Titans (AFL),• Mike Morin,,1960 AFL draft pick
5,1959-11-23,Titans (AFL),• Prentice Gautt,,1960 AFL draft pick
6,1959-11-23,Titans (AFL),• Roger Smith,,1960 AFL draft pick
7,1959-12-02,Titans (AFL),• Andy Stynchula,,1960 AFL draft pick
8,1959-12-02,Titans (AFL),• Bob Coiburn,,1960 AFL draft pick
9,1959-12-02,Titans (AFL),• Bob Hall (a),,1960 AFL draft pick
10,1959-12-02,Titans (AFL),• Dave Baker,,1960 AFL draft pick
11,1959-12-02,Titans (AFL),• Frank Walton,,1960 AFL draft pick
12,1959-12-02,Titans (AFL),• Garney Henley,,1960 AFL draft pick
13,1959-12-02,Titans (AFL),• Gerry Skonieczki,,1960 AFL draft pick
14,1959-12-02,Titans (AFL),• Gordon Leboeuf,,1960 AFL draft pick
15,1959-12-02,Titans (AFL),• Jim Gorman,,1960 AFL draft pick
16,1959-12-02,Titans (AFL),• Jim Hunt,,1960 AFL draft pick
17,1959-12-02,Titans (AFL),• Jim Nemeth,,1960 AFL draft pick
18,1959-12-02,Titans (AFL),• Larry Essenmacker,,1960 AFL draft pick
19,1959-12-02,Titans (AFL),• Marshall Harris (a),,1960 AFL draft pick
20,1959-12-02,Titans (AFL),• Pete Abadie,,1960 AFL draft pick
21,1959-12-02,Titans (AFL),• Ramon Armstrong,,1960 AFL draft pick
22,1959-12-02,Titans (AFL),• Rich Brooks,,1960 AFL draft pick
23,1959-12-02,Titans (AFL),• Roger Brown (a),,1960 AFL draft pick
24,1959-12-02,Titans (AFL),• Royce Shelton,,1960 AFL draft pick
25,1959-12-02,Titans (AFL),• Steve Rasso,,1960 AFL draft pick
1,1959-12-02,Titans (AFL),• Tom Budrewicz,,1960 AFL draft pick
2,1959-12-18,Titans (AFL),• Sammy Baugh,,"hired as head coach, signed to a $28K/year contract"
