,Date,Team,Acquired,Relinquished,Notes
1,1936-10-05,Rams,• Harry Mattos,,signed free agent
2,1936-10-05,Rams,• Nebb Elduayan,,signed free agent
3,1936-12-12,Rams,• Johnny Drake / Zero Drake,,1937 NFL draft first round pick (#10 overall)
4,1936-12-12,Rams,• Jules Alfonse,,1937 NFL draft second round pick (#20 overall)
5,1936-12-12,Rams,• Bobby Larue,,1937 NFL draft third round pick (#30 overall)
6,1936-12-12,Rams,• John Wiatrak,,1937 NFL draft fourth round pick (#40 overall)
7,1936-12-12,Rams,• Inwood Smith,,1937 NFL draft fifth round pick (#50 overall)
8,1936-12-12,Rams,• Chris Del Sasso,,1937 NFL draft sixth round pick (#60 overall)
9,1936-12-12,Rams,• Norm Schoen,,1937 NFL draft seventh round pick (#70 overall)
10,1936-12-12,Rams,• Herm Schmarr,,1937 NFL draft eighth round pick (#80 overall)
11,1936-12-12,Rams,• Ray Johnson (a),,1937 NFL draft ninth round pick (#90 overall)
12,1936-12-12,Rams,• Solon Holt,,1937 NFL draft tenth round pick (#100 overall)
13,1937-02-13,Rams,• Homer Marshman & Associates,,NFL expansion franchise granted to owners
14,1937-04-27,Rams,• Bob Snyder,,signed
15,1937-05-13,Rams,• Hugo Bezdek,,hired as head coach (date approximate)
16,1937-07-01,Rams,• Jim Turner (Kay),,(date approximate)
17,1937-07-01,Rams,• Joe Williams (John),,(date approximate)
18,1937-12-12,Rams,• Corbett Davis,,1938 NFL draft first round pick (#1 overall)
19,1937-12-12,Rams,• Jim Benton,,1938 NFL draft second round pick (#11 overall)
20,1937-12-12,Rams,• Joe Routt,,1938 NFL draft third round pick (#16 overall)
21,1937-12-12,Rams,• Vic Markov,,1938 NFL draft fourth round pick (#26 overall)
22,1937-12-12,Rams,• Ed Franco,,1938 NFL draft fifth round pick (#31 overall)
23,1937-12-12,Rams,• Ray Hamilton (a),,1938 NFL draft sixth round pick (#41 overall)
24,1937-12-12,Rams,• Marcel Chesbro / Red Chesbro,,1938 NFL draft seventh round pick (#51 overall)
25,1937-12-12,Rams,• Walt Mayberry / Tiger Mayberry,,1938 NFL draft eighth round pick (#61 overall)
1,1937-12-12,Rams,• Chuck Ream,,1938 NFL draft ninth round pick (#71 overall)
2,1937-12-12,Rams,• Joe Maras,,1938 NFL draft tenth round pick (#81 overall)
3,1937-12-12,Rams,• Al Hoptowit,,1938 NFL draft eleventh round pick (#91 overall)
4,1937-12-12,Rams,• Vic Spadaccini,,1938 NFL draft twelfth round pick (#101 overall)
5,1938-04-10,Rams,• Johnny Gilden,• rights to Joe Maras,trade with Pirates
6,1938-07-14,Rams,• Lou Gordon,• Ookie Miller / Oakie Miller,trade with Packers
7,1938-08-01,Rams,,• Jim Turner (Kay),(date approximate)
