,Year,Month,Type,From,To,Date,Player,Position,Transaction
0,1968,7,trades,Cowboys  Cowboys,Rams  Rams,07/31,Coy Bacon,,Traded
0,1971,5,trades,Broncos  Broncos,Oilers  Oilers,05/14,Bob Young,,Traded
0,1971,8,trades,Saints  Saints,Vikings  Vikings,08/12,Doug Sutherland,,Traded
1,1971,8,trades,Patriots  Patriots,Steelers  Steelers,08/09,Jim Clack,,Traded
0,1973,1,trades,Rams  Rams,Chargers  Chargers,01/26,Coy Bacon,,Traded
0,1974,7,trades,Steelers  Steelers,Giants  Giants,07/24,Doug Kotar,,Traded
0,1975,9,trades,Jets  Jets,Bears  Bears,09/09,Ron Rydalch,,Traded
0,1976,4,trades,Chargers  Chargers,Bengals  Bengals,04/02,Coy Bacon,,Traded
0,1976,8,trades,Oilers  Oilers,Redskins  Redskins,08/19,Ron Saul,,Traded
0,1977,9,trades,Packers  Packers,Raiders  Raiders,09/12,Mike McCoy,,Traded
0,1978,4,trades,Steelers  Steelers,Giants  Giants,04/17,Jim Clack,,Traded
0,1978,6,trades,Bengals  Bengals,Redskins  Redskins,06/27,Coy Bacon,,Traded
0,1978,8,trades,Steelers  Steelers,Bills  Bills,08/15,Frank Lewis,,Traded
0,1979,8,trades,Raiders  Raiders,Giants  Giants,08/23,Mike McCoy,,Traded
0,1981,4,trades,Patriots  Patriots,Saints  Saints,04/23,Sam Adams,,Traded
0,1981,8,trades,49ers  49ers,Broncos  Broncos,08/31,Steve DeBerg,,Traded
1,1981,8,trades,Chargers  Chargers,Chargers  Chargers,08/31,Mike Wood,,Traded
2,1981,8,trades,Lions  Lions,Dolphins  Dolphins,08/12,Bill Searcey,,Traded
0,1981,10,trades,49ers  49ers,Browns  Browns,10/07,Matt Bahr,,Traded
0,1982,9,trades,Rams  Rams,Giants  Giants,09/06,Jeff Rutledge,,Traded
0,1983,5,trades,Broncos  Broncos,Broncos  Broncos,05/03,Mark Herrmann,,Traded
1,1983,5,trades,Broncos  Broncos,Broncos  Broncos,05/03,Chris Hinton,,Traded
2,1983,5,trades,Colts  Colts,Broncos  Broncos,05/03,John Elway,,Traded
0,1983,6,trades,Bengals  Bengals,Seahawks  Seahawks,06/29,Blair Bush,,Traded
0,1983,8,trades,Cowboys  Cowboys,Cowboys  Cowboys,08/29,Raul Allegre,,Traded
