SOURCE,Round,Pick,Team
Tankathon,1,1,Tennessee
Tankathon,1,2,Cleveland
Tankathon,1,3,NY Giants
Tankathon,1,4,New England
Tankathon,1,5,Jacksonville
Tankathon,1,6,Las Vegas
Tankathon,1,7,NY Jets
Tankathon,1,8,Carolina
Tankathon,1,9,New Orleans
Tankathon,1,10,Chicago
Tankathon,1,11,San Francisco
Tankathon,1,12,Dallas
Tankathon,1,13,Miami
Tankathon,1,14,Indianapolis
Tankathon,1,15,Atlanta
Tankathon,1,16,Arizona
Tankathon,1,17,Cincinnati
Tankathon,1,18,Seattle
Tankathon,1,19,Tampa Bay
Tankathon,1,20,Denver
Tankathon,1,21,Pittsburgh
Tankathon,1,22,LA Chargers
Tankathon,1,23,Green Bay
Tankathon,1,24,Minnesota
Tankathon,1,25,Houston
Tankathon,1,26,LA Rams
Tankathon,1,27,Baltimore
Tankathon,1,28,Detroit
Tankathon,1,29,Washington
Tankathon,1,30,Buffalo
Tankathon,1,31,Kansas City
Tankathon,1,32,Philadelphia
Tankathon,2,33,Cleveland
Tankathon,2,34,NY Giants
Tankathon,2,35,Tennessee
Tankathon,2,36,Jacksonville
Tankathon,2,37,Las Vegas
Tankathon,2,38,New England
Tankathon,2,39,Chicago
Tankathon,2,40,New Orleans
Tankathon,2,41,Chicago
Tankathon,2,42,NY Jets
Tankathon,2,43,San Francisco
Tankathon,2,44,Dallas
Tankathon,2,45,Indianapolis
Tankathon,2,46,Atlanta
Tankathon,2,47,Arizona
Tankathon,2,48,Miami
Tankathon,2,49,Cincinnati
Tankathon,2,50,Seattle
Tankathon,2,51,Denver
Tankathon,2,52,Seattle
Tankathon,2,53,Tampa Bay
Tankathon,2,54,Green Bay
Tankathon,2,55,LA Chargers
Tankathon,2,56,Buffalo
Tankathon,2,57,Carolina
Tankathon,2,58,Houston
Tankathon,2,59,Baltimore
Tankathon,2,60,Detroit
Tankathon,2,61,Washington
Tankathon,2,62,Buffalo
Tankathon,2,63,Kansas City
Tankathon,2,64,Philadelphia
Tankathon,3,65,NY Giants
Tankathon,3,66,Kansas City
Tankathon,3,67,Cleveland
Tankathon,3,68,Las Vegas
Tankathon,3,69,New England
Tankathon,3,70,Jacksonville
Tankathon,3,71,New Orleans
Tankathon,3,72,Chicago
Tankathon,3,73,NY Jets
Tankathon,3,74,Carolina
Tankathon,3,75,San Francisco
Tankathon,3,76,Dallas
Tankathon,3,77,New England
Tankathon,3,78,Arizona
Tankathon,3,79,Houston
Tankathon,3,80,Indianapolis
Tankathon,3,81,Cincinnati
Tankathon,3,82,Seattle
Tankathon,3,83,Pittsburgh
Tankathon,3,84,Tampa Bay
Tankathon,3,85,Denver
Tankathon,3,86,LA Chargers
Tankathon,3,87,Green Bay
Tankathon,3,88,Jacksonville
Tankathon,3,89,Houston
Tankathon,3,90,LA Rams
Tankathon,3,91,Baltimore
Tankathon,3,92,Seattle
Tankathon,3,93,New Orleans
Tankathon,3,94,Cleveland
Tankathon,3,95,Kansas City
Tankathon,3,96,Philadelphia
Tankathon,3,97,Minnesota
Tankathon,3,98,Miami
Tankathon,3,99,NY Giants
Tankathon,3,100,San Francisco
Tankathon,3,101,LA Rams
Tankathon,3,102,Detroit
Tankathon,4,103,Tennessee
Tankathon,4,104,Cleveland
Tankathon,4,105,NY Giants
Tankathon,4,106,New England
Tankathon,4,107,Jacksonville
Tankathon,4,108,Las Vegas
Tankathon,4,109,Buffalo
Tankathon,4,110,NY Jets
Tankathon,4,111,Carolina
Tankathon,4,112,New Orleans
Tankathon,4,113,San Francisco
Tankathon,4,114,Carolina
Tankathon,4,115,Arizona
Tankathon,4,116,Miami
