SOURCE,Rank,Player,Weight,Height,40YD,AVG POS RANK,AVG OVR RANK,Rating,Summary
NFLDraftBuzz,1,Travis Hunter,185,6-1,4.4,1.0,1.7,93.4,The most intriguing debate surrounding Hunter extends beyond which position maximizes his generational talent - it centers on whether his...
NFLDraftBuzz,2,Ashton Jeanty,215,5-9,4.42,1.0,6.0,92.5,Jeanty's film study reveals a generational talent with a skill set that transcends traditional running back archetypes. His rare fusion of...
NFLDraftBuzz,3,Abdul Carter,259,6-3,4.48,1.0,2.6,91.1,The team that drafts Carter will be getting an ascending talent with legitimate All-Pro potential as a weak-side edge rusher. His...
NFLDraftBuzz,4,Mason Graham,320,6-3,5.1,2.0,5.0,90.9,Graham fits the bill of an immediate impact starter who can anchor a defensive front while providing scheme versatility across multiple...
NFLDraftBuzz,5,Will Johnson,202,6-2,4.39,2.0,10.3,89.6,"The NFL cornerback prototype is changing, and Will Johnson represents the new wave. His rare combination of length, football IQ, and..."
NFLDraftBuzz,6,Cam Ward,223,6-2,4.87,1.0,13.8,89.4,"Ward's exceptional 2024 campaign positions him as a premier quarterback prospect, though his unexpected halftime exit from the Pop-Tarts..."
NFLDraftBuzz,7,Kelvin Banks Jr.,320,6-4,5.16,3.0,17.7,89.1,"Banks projects as a high-ceiling prospect who could excel at either tackle or guard, with the versatility to be a day-one impact starter at..."
NFLDraftBuzz,8,Shedeur Sanders,215,6-2,4.68,2.0,22.4,89.0,Sanders projects as a high-ceiling prospect who could develop into a franchise cornerstone with proper coaching and protection. His...
NFLDraftBuzz,9,Will Campbell,323,6-6,4.98,1.0,9.7,88.9,The tape shows a technically refined blocker who's ready to start from day one at tackle. His masterful work against SEC edge rushers -...
NFLDraftBuzz,10,Tetairoa McMillan,212,6-5,4.55,2.0,10.8,88.5,"McMillan boasts a rare combination of size, hands, and route-running acumen that scouts covet in a WR1 prospect. His ability to win at all..."
NFLDraftBuzz,11,Armand Membou,314,6-3,4.91,2.0,12.3,88.4,"Membou's tape reveals a tackle prospect with clear NFL traits, though his projection comes with both promise and risk. His movement skills..."
