,0,1,2
0,Lions,Rams,2020
1,Rams,Giants,2023
2,Texans,Jaguars,2017
3,Jaguars,Broncos,2020
4,Broncos,Panthers,2021
5,Titans,Eagles,2022
6,Jaguars,Texans,2022
7,Broncos,Patriots,2016
8,Broncos,Dolphins,2017
9,Patriots,Broncos,2017
10,Colts,Patriots,2011
11,Patriots,Jaguars,2014
12,Jaguars,Jets,2014
13,Eagles,Dolphins,2004
14,Dolphins,Eagles,2006
15,Eagles,Rams,2011
16,Dolphins,Seahawks,2015
17,Seahawks,Commanders,2017
18,Bengals,Cardinals,2021
19,Packers,Bengals,2015
20,Bengals,Falcons,2016
21,Cardinals,Vikings,2012
22,49ers,Chiefs,2013
23,Panthers,Saints,2017
24,Saints,Bills,2020
25,Bills,Bears,2022
26,Bills,Ravens,2022
27,Bears,Bills,2022
28,Ravens,Bills,2023
29,Bengals,Raiders,2018
30,Raiders,Texans,2019
31,Texans,Titans,2022
32,Colts,Ravens,2013
33,Ravens,Colts,2014
34,Colts,Cardinals,2015
35,Cardinals,Buccaneers,2020
36,Jaguars,Jets,2002
37,Jets,Falcons,2004
38,Lions,Jets,2012
39,Jets,Browns,2014
40,Broncos,Cardinals,2016
41,Saints,Raiders,2006
42,Jaguars,Texans,2018
43,Commanders,Texans,2019
44,Texans,Commanders,2019
45,Raiders,Seahawks,2011
46,Seahawks,Raiders,2011
47,Seahawks,Raiders,2012
48,Vikings,Titans,2004
49,Titans,Vikings,2004
50,Vikings,Ravens,2005
51,Cardinals,Colts,2009
52,Lions,Cowboys,2001
53,Cowboys,Lions,2001
54,Lions,Cowboys,2002
55,Cowboys,Bears,2003
56,Jets,Texans,2002
57,Texans,Cowboys,2005
58,Cowboys,Jaguars,2007
59,Jaguars,Saints,2008
60,Cardinals,Raiders,2001
61,Raiders,Titans,2002
62,Packers,Jaguars,2010
63,49ers,Bears,2018
64,Bears,Jaguars,2020
65,Bills,Jets,2011
66,Buccaneers,Jaguars,2012
67,Jaguars,Buccaneers,2012
68,Packers,Jets,2023
69,Giants,Jaguars,2012
70,Jaguars,Giants,2013
71,Giants,Packers,2009
72,Packers,Giants,2009
73,Buccaneers,Saints,2004
74,Saints,Falcons,2009
75,Titans,Buccaneers,2019
76,Buccaneers,Titans,2019
77,Titans,Buccaneers,2020
78,49ers,Rams,2006
79,Packers,Bengals,2008
80,Bengals,Panthers,2010
81,Bears,Vikings,2020
82,Vikings,Packers,2021
83,Packers,Falcons,2022
84,Cowboys,Jets,2007
85,Jets,Browns,2009
86,Browns,Cowboys,2011
87,Cowboys,Chiefs,2012
88,Ravens,Patriots,2007
89,Rams,Commanders,2006
90,Commanders,Bears,2007
91,Patriots,Dolphins,2021
92,Dolphins,Raiders,2023
93,Rams,Commanders,2010
94,Commanders,Giants,2015
95,Vikings,Rams,2006
96,Broncos,Jaguars,2020
97,Vikings,Cardinals,2005
98,Buccaneers,Commanders,2014
99,Buccaneers,Titans,2019
100,Titans,Commanders,2021
101,Falcons,Lions,2008
102,Titans,Cowboys,2008
103,Cowboys,Bengals,2010
104,Bengals,Broncos,2018
105,Colts,Broncos,2006
106,Packers,Dolphins,2019
107,Jaguars,Bears,2011
108,Colts,Cowboys,2018
109,Panthers,Jaguars,2009
110,Bears,Dolphins,2020
111,49ers,Cardinals,2012
112,Cardinals,49ers,2013
113,49ers,Giants,2014
114,Ravens,Chargers,2010
115,Vikings,Panthers,2023
116,Saints,Broncos,2023
117,Patriots,Colts,2006
118,Panthers,Buccaneers,2015
119,Buccaneers,Browns,2019
120,Browns,Panthers,2020
121,Commanders,Bears,2007
122,Dolphins,Bears,2004
123,Bears,Texans,2010
124,Browns,Vikings,2005
125,Vikings,Raiders,2006
126,Raiders,Texans,2007
127,Bengals,Bills,2018
128,Bills,Bengals,2018
129,Titans,Giants,2021
130,Bears,Packers,2019
131,Packers,Jets,2023
132,Giants,Vikings,2011
133,Buccaneers,Falcons,2015
134,Falcons,Patriots,2018
135,Patriots,Falcons,2019
136,Falcons,Browns,2020
137,49ers,Dolphins,2019
138,Dolphins,Giants,2020
139,Giants,Browns,2021
140,Browns,Jets,2021
141,Jets,Bears,2022
142,Jets,Chiefs,2008
143,Patriots,Packers,2005
144,Colts,Seahawks,2011
145,Seahawks,Eagles,2012
146,Cardinals,Commanders,2000
147,Commanders,Cowboys,2003
148,Cardinals,Saints,2017
149,Vikings,Cardinals,2017
150,Saints,Commanders,2018
151,Commanders,Lions,2020
