,Year,Player,Team,G,College,BirthDate
0,1999,Pat Barnes,49ers,1,California,2/23/1975
1,1999,Fred Beasley,49ers,13,Auburn,9/18/1974
2,1999,Shonn Bell,49ers,2,Clinch Valley,10/25/1974
3,1999,Shane Bonham,49ers,3,"Air Force,Tennessee",10/18/1970
4,1999,Zack Bronson,49ers,15,McNeese St.,1/28/1974
5,1999,Ray Brown,49ers,16,"Memphis,Arkansas St.",12/12/1962
6,1999,Junior Bryant,49ers,16,Notre Dame,1/16/1971
7,1999,Jeff Buckey,49ers,7,Stanford,8/7/1974
8,1999,Brentson Buckner,49ers,16,Clemson,9/30/1971
9,1999,Greg Clark,49ers,12,Stanford,4/7/1972
10,1999,Tony Cline,49ers,8,Stanford,11/24/1971
11,1999,Chris Dalman,49ers,15,Stanford,3/15/1970
12,1999,Derrick Deese,49ers,16,USC,5/17/1970
13,1999,Dan Dercher,49ers,9,Kansas,6/2/1976
14,1999,Chris Draft,49ers,7,Stanford,2/26/1976
15,1999,Chad Fann,49ers,16,"Mississippi,Florida A&M",6/7/1970
16,1999,Dave Fiore,49ers,16,Hofstra,8/10/1974
17,1999,Jeff Garcia,49ers,13,San Jose St.,2/24/1970
18,1999,Charlie Garner,49ers,16,Tennessee,2/13/1972
19,1999,Reggie Givens,49ers,16,Penn St.,10/3/1971
20,1999,Charles Haley,49ers,16,James Madison,1/6/1964
21,1999,Mark Harris,49ers,16,"Southern Utah,Stanford",4/28/1970
22,1999,Tyrone Hopson,49ers,1,East. Kentucky,5/28/1976
23,1999,Terry Jackson,49ers,16,Florida,1/10/1976
24,1999,Travis Jervey,49ers,8,The Citadel,5/5/1972
25,1999,Matt Keneley,49ers,7,USC,12/1/1973
26,1999,Randy Kirk,49ers,3,San Diego St.,12/27/1964
27,1999,Ben Lynch,49ers,16,California,11/18/1972
28,1999,Ramos McDonald,49ers,9,New Mexico,4/30/1976
29,1999,Tim McDonald,49ers,16,USC,1/6/1965
30,1999,Mark McMillian,49ers,6,Alabama,4/29/1970
31,1999,R.W. McQuarters,49ers,11,Oklahoma St.,12/21/1976
32,1999,Monty Montgomery,49ers,4,Houston,12/8/1973
33,1999,Jeremy Newberry,49ers,16,California,3/23/1976
34,1999,Craig Newsome,49ers,7,Arizona St.,8/10/1971
35,1999,Ken Norton Jr.,49ers,16,UCLA,9/29/1966
36,1999,Chike Okeafor,49ers,12,Purdue,3/27/1976
37,1999,Phil Ostrowski,49ers,15,Penn St.,9/23/1975
38,1999,Terrell Owens,49ers,14,Chattanooga,12/7/1973
39,1999,Tony Peterson,49ers,12,Notre Dame,1/23/1972
40,1999,Lawrence Phillips,49ers,8,Nebraska,5/12/1975
41,1999,Jeff Posey,49ers,16,Southern Miss,8/14/1975
42,1999,Roell Preston,49ers,4,"Northwest Mississippi CC,Mississippi",6/23/1972
43,1999,Pierson Prioleau,49ers,14,Virginia Tech,8/6/1977
44,1999,Jerry Rice,49ers,16,Miss. Valley St.,10/13/1962
45,1999,Wade Richey,49ers,16,LSU,5/19/1976
46,1999,David Richie,49ers,1,Washington,9/26/1973
47,1999,Lance Schulters,49ers,13,Hofstra,5/27/1975
48,1999,Wasswa Serwanga,49ers,9,"Sacramento St.,Pacific,UCLA",7/23/1976
49,1999,Chad Stanley,49ers,16,S.F. Austin,1/29/1976
50,1999,Steve Stenstrom,49ers,6,Stanford,12/23/1971
51,1999,J.J. Stokes,49ers,16,UCLA,10/6/1972
52,1999,Tai Streets,49ers,2,Michigan,4/20/1977
53,1999,Winfred Tubbs,49ers,16,Texas,9/24/1970
54,1999,Tommy Vardell,49ers,6,Stanford,2/20/1969
55,1999,Darnell Walker,49ers,15,Oklahoma,1/17/1970
56,1999,Marvin Washington,49ers,5,"Texas-El Paso,Idaho",10/22/1965
57,1999,Joe Wesley,49ers,8,LSU,11/10/1976
58,1999,Gabe Wilkins,49ers,16,Gardner-Webb,9/1/1971
59,1999,Lee Woodall,49ers,16,West Chester,10/31/1969
60,1999,Bryant Young,49ers,16,Notre Dame,1/27/1972
61,1999,Steve Young,49ers,3,BYU,10/11/1961
62,1999,Joe Zelenka,49ers,13,Wake Forest,3/9/1976
63,1999,Team Total,49ers,16,,
0,1999,James Allen,Bears,12,Oklahoma,3/28/1975
1,1999,John Allred,Bears,16,USC,9/9/1974
2,1999,Ken Anderson,Bears,2,Arkansas,10/4/1975
3,1999,Raymond Austin,Bears,15,Tennessee,12/21/1974
4,1999,Jerry Azumah,Bears,16,New Hampshire,9/1/1977
5,1999,D'Wayne Bates,Bears,7,Northwestern,12/4/1975
6,1999,Edgar Bennett,Bears,16,Florida St.,2/15/1969
7,1999,Chris Boniol,Bears,10,Louisiana Tech,12/9/1971
8,1999,Marty Booker,Bears,9,La-Monroe,7/31/1976
9,1999,Blake Brockermeyer,Bears,15,Texas,4/11/1973
10,1999,Macey Brooks,Bears,9,James Madison,2/2/1975
11,1999,Keith Burns,Bears,15,Oklahoma St.,5/16/1972
12,1999,Shane Burton,Bears,15,Tennessee,1/18/1974
13,1999,Tom Carter,Bears,12,Notre Dame,9/5/1972
14,1999,Rosevelt Colvin,Bears,11,Purdue,9/5/1977
15,1999,Curtis Conway,Bears,9,USC,1/13/1971
16,1999,Terry Cousin,Bears,16,South Carolina,3/11/1975
17,1999,Russell Davis,Bears,11,North Carolina,3/28/1975
18,1999,Bobby Engram,Bears,16,Penn St.,1/7/1973
19,1999,Curtis Enis,Bears,15,Penn St.,6/15/1976
20,1999,Jim Flanigan,Bears,16,Notre Dame,8/27/1971
21,1999,Brian Gowins,Bears,2,Northwestern,6/3/1976
22,1999,Ty Hallock,Bears,15,Michigan St.,4/30/1971
23,1999,Sean Harris,Bears,14,Arizona,2/25/1972
24,1999,Walt Harris,Bears,15,Mississippi St.,8/10/1974
25,1999,Warrick Holdman,Bears,16,Texas A&M,11/22/1975
26,1999,Jaret Holmes,Bears,3,Auburn,3/3/1976
27,1999,Chris Hudson,Bears,16,Colorado,10/6/1971
28,1999,Jeff Jaeger,Bears,3,Washington,11/26/1964
29,1999,Jermaine Jones,Bears,1,Northwestern St. (LA),7/25/1976
30,1999,Olin Kreutz,Bears,16,Washington,6/9/1977
31,1999,Patrick Mannelly,Bears,16,Duke,4/18/1975
32,1999,Shane Matthews,Bears,8,Florida,6/1/1970
33,1999,Alonzo Mayes,Bears,16,Oklahoma St.,6/4/1975
34,1999,Ricardo McDonald,Bears,16,Pittsburgh,11/8/1969
35,1999,Cade McNown,Bears,15,UCLA,1/12/1977
36,1999,Glyn Milburn,Bears,16,"Oklahoma,Stanford",2/19/1971
37,1999,Jim Miller,Bears,5,Michigan St.,2/9/1971
38,1999,Barry Minter,Bears,16,Tulsa,1/28/1970
39,1999,Tony Parrish,Bears,16,Washington,11/23/1975
40,1999,Todd Perry,Bears,16,Kentucky,11/28/1970
41,1999,Bryan Robinson,Bears,16,Fresno St.,6/22/1974
42,1999,Marcus Robinson,Bears,16,South Carolina,2/27/1975
43,1999,Khari Samuel,Bears,13,Massachusetts,10/14/1976
44,1999,Todd Sauerbrun,Bears,16,West Virginia,1/4/1973
45,1999,Clyde Simmons,Bears,16,Western Carolina,8/4/1964
46,1999,Frankie Smith,Bears,15,Baylor,10/8/1968
47,1999,Rex Tucker,Bears,2,Texas A&M,12/20/1976
48,1999,Van Tuinei,Bears,16,Arizona,2/16/1971
49,1999,Chris Villarrial,Bears,15,Indiana (PA),6/9/1973
50,1999,Mike Wells,Bears,16,Iowa,1/16/1971
51,1999,Ryan Wetnight,Bears,16,Stanford,11/5/1970
52,1999,Casey Wiegmann,Bears,16,Iowa,7/20/1973
