,Year,From,To
0,2020,Lions,Rams
1,2023,Rams,Giants
2,2017,Texans,Jaguars
3,2020,Jaguars,Broncos
4,2021,Broncos,Panthers
5,2022,Titans,Eagles
6,2022,Jaguars,Texans
7,2016,Broncos,Patriots
8,2017,Broncos,Dolphins
9,2017,Patriots,Broncos
10,2011,Colts,Patriots
11,2014,Patriots,Jaguars
12,2014,Jaguars,Jets
13,2004,Eagles,Dolphins
14,2006,Dolphins,Eagles
15,2011,Eagles,Rams
16,2015,Dolphins,Seahawks
17,2017,Seahawks,Commanders
18,2021,Bengals,Cardinals
19,2015,Packers,Bengals
20,2016,Bengals,Falcons
21,2012,Cardinals,Vikings
22,2013,49ers,Chiefs
23,2017,Panthers,Saints
24,2020,Saints,Bills
25,2022,Bills,Bears
26,2022,Bills,Ravens
27,2022,Bears,Bills
28,2023,Ravens,Bills
29,2018,Bengals,Raiders
30,2019,Raiders,Texans
31,2022,Texans,Titans
32,2013,Colts,Ravens
33,2014,Ravens,Colts
34,2015,Colts,Cardinals
35,2020,Cardinals,Buccaneers
37,2004,Jets,Falcons
38,2012,Lions,Jets
39,2014,Jets,Browns
40,2016,Broncos,Cardinals
41,2006,Saints,Raiders
43,2019,Commanders,Texans
44,2019,Texans,Commanders
45,2011,Raiders,Seahawks
46,2011,Seahawks,Raiders
48,2004,Vikings,Titans
49,2004,Titans,Vikings
50,2005,Vikings,Ravens
51,2009,Cardinals,Colts
52,2001,Lions,Cowboys
53,2001,Cowboys,Lions
55,2003,Cowboys,Bears
56,2002,Jets,Texans
57,2005,Texans,Cowboys
58,2007,Cowboys,Jaguars
59,2008,Jaguars,Saints
60,2001,Cardinals,Raiders
61,2002,Raiders,Titans
62,2010,Packers,Jaguars
63,2018,49ers,Bears
64,2020,Bears,Jaguars
65,2011,Bills,Jets
66,2012,Buccaneers,Jaguars
67,2012,Jaguars,Buccaneers
68,2023,Packers,Jets
69,2012,Giants,Jaguars
70,2013,Jaguars,Giants
71,2009,Giants,Packers
72,2009,Packers,Giants
73,2004,Buccaneers,Saints
74,2009,Saints,Falcons
75,2019,Titans,Buccaneers
76,2019,Buccaneers,Titans
78,2006,49ers,Rams
80,2010,Bengals,Panthers
81,2020,Bears,Vikings
82,2021,Vikings,Packers
83,2022,Packers,Falcons
84,2007,Cowboys,Jets
86,2011,Browns,Cowboys
87,2012,Cowboys,Chiefs
88,2007,Ravens,Patriots
89,2006,Rams,Commanders
90,2007,Commanders,Bears
91,2021,Patriots,Dolphins
92,2023,Dolphins,Raiders
94,2015,Commanders,Giants
95,2006,Vikings,Rams
96,2020,Broncos,Jaguars
97,2005,Vikings,Cardinals
98,2014,Buccaneers,Commanders
100,2021,Titans,Commanders
101,2008,Falcons,Lions
102,2008,Titans,Cowboys
103,2010,Cowboys,Bengals
104,2018,Bengals,Broncos
105,2006,Colts,Broncos
106,2019,Packers,Dolphins
107,2011,Jaguars,Bears
108,2018,Colts,Cowboys
109,2009,Panthers,Jaguars
110,2020,Bears,Dolphins
111,2012,49ers,Cardinals
112,2013,Cardinals,49ers
113,2014,49ers,Giants
114,2010,Ravens,Chargers
115,2023,Vikings,Panthers
116,2023,Saints,Broncos
117,2006,Patriots,Colts
118,2015,Panthers,Buccaneers
119,2019,Buccaneers,Browns
120,2020,Browns,Panthers
122,2004,Dolphins,Bears
123,2010,Bears,Texans
124,2005,Browns,Vikings
125,2006,Vikings,Raiders
127,2018,Bengals,Bills
128,2018,Bills,Bengals
129,2021,Titans,Giants
130,2019,Bears,Packers
132,2011,Giants,Vikings
133,2015,Buccaneers,Falcons
134,2018,Falcons,Patriots
135,2019,Patriots,Falcons
136,2020,Falcons,Browns
137,2019,49ers,Dolphins
138,2020,Dolphins,Giants
139,2021,Giants,Browns
140,2021,Browns,Jets
141,2022,Jets,Bears
142,2008,Jets,Chiefs
143,2005,Patriots,Packers
144,2011,Colts,Seahawks
145,2012,Seahawks,Eagles
146,2000,Cardinals,Commanders
147,2003,Commanders,Cowboys
148,2017,Cardinals,Saints
150,2018,Saints,Commanders
151,2020,Commanders,Lions
152,2021,Lions,Seahawks
153,2021,Seahawks,Titans
154,2020,Chargers,Patriots
155,2013,Broncos,Chargers
156,2013,Steelers,Broncos
157,2007,Eagles,Jets
158,2001,Cardinals,Rams
159,2021,49ers,Steelers
160,2023,Steelers,Rams
161,2013,Giants,Colts
162,2009,Bengals,49ers
163,2017,49ers,Packers
165,2006,Jaguars,Packers
168,2019,Colts,Falcons
