,Year,G,Player,BirthDate,College,From,To,Active,Transactions
0,2016,16,A'Shawn Robinson,3/21/1995,Alabama,College,Lions,True,1
1,2020,8,A'Shawn Robinson,3/21/1995,Alabama,Lions,Rams,True,1
2,2023,6,A'Shawn Robinson,3/21/1995,Alabama,Rams,Giants,True,1
3,2013,6,A.J. Bouye,8/16/1991,Central Florida,College,Texans,False,1
4,2017,16,A.J. Bouye,8/16/1991,Central Florida,Texans,Jaguars,False,1
5,2020,7,A.J. Bouye,8/16/1991,Central Florida,Jaguars,Broncos,False,1
6,2021,10,A.J. Bouye,8/16/1991,Central Florida,Broncos,Panthers,False,1
7,2019,16,A.J. Brown,6/30/1997,Mississippi,College,Titans,False,1
8,2022,17,A.J. Brown,6/30/1997,Mississippi,Titans,Eagles,False,1
9,2015,14,A.J. Cann,10/23/1991,South Carolina,College,Jaguars,False,1
10,2022,16,A.J. Cann,10/23/1991,South Carolina,Jaguars,Texans,False,1
11,2012,1,A.J. Davis,7/6/1989,Jacksonville St.,College,Saints,False,1
12,2016,4,A.J. Derby,9/20/1991,Arkansas,Broncos,Patriots,False,1
13,2016,6,A.J. Derby,9/20/1991,Arkansas,College,Broncos,False,1
14,2017,2,A.J. Derby,9/20/1991,Arkansas,Broncos,Dolphins,False,1
15,2017,9,A.J. Derby,9/20/1991,Arkansas,Patriots,Broncos,False,1
16,2011,2,A.J. Edds,9/18/1987,Iowa,Colts,Patriots,False,1
17,2011,9,A.J. Edds,9/18/1987,Iowa,College,Colts,False,1
18,2014,2,A.J. Edds,9/18/1987,Iowa,Patriots,Jaguars,False,1
19,2014,4,A.J. Edds,9/18/1987,Iowa,Jaguars,Jets,False,1
20,2020,14,A.J. Epenesa,9/15/1998,Iowa,College,Bills,False,1
21,2001,1,A.J. Feeley,5/16/1977,Oregon,College,Eagles,False,1
22,2004,11,A.J. Feeley,5/16/1977,Oregon,Eagles,Dolphins,False,1
23,2006,2,A.J. Feeley,5/16/1977,Oregon,Dolphins,Eagles,False,1
24,2011,5,A.J. Feeley,5/16/1977,Oregon,Eagles,Rams,False,1
