Pick,Team,Name,Pos
1,CHI,Caleb Williams,QB
2,WAS,Jayden Daniels,QB
3,NE,Drake Maye,QB
4,ARI,Malik Nabers,WR
5,LAC,Dallas Turner,EDGE
6,NYG,J.J. McCarthy,QB
7,TEN,Marvin Harrison Jr.,WR
8,ATL,Rome Odunze,WR
9,CHI,Brock Bowers,TE
10,NYJ,Joe Alt,OT
11,MIN,Terrion Arnold,CB
12,DEN,JC Latham,OT
13,LV,Troy Fautanu,OT
14,NO,Quinyon Mitchell,CB
15,IND,Taliese Fuaga,OT
16,SEA,Jared Verse,EDGE
17,JAX,Olumuyiwa Fashanu,OT
18,CIN,Laiatu Latu,EDGE
19,LAR,Graham Barton,OT
20,PIT,Amarius Mims,OT
21,MIA,Byron Murphy II,DL
22,PHI,Chop Robinson,EDGE
23,MIN,Bo Nix,QB
24,DAL,Cooper DeJean,CB
25,GB,Xavier Worthy,WR
26,BUC,Tyler Guyton,OT
27,ARI,Adonai Mitchell,WR
28,BUF,Darius Robinson,EDGE
29,DET,Brian Thomas Jr.,WR
30,BAL,Nate Wiggins,CB
31,SAN,Kool-Aid McKinstry,CB
32,KC,Jer'Zhan Newton,DL
33,CAR,Xavier Legett,WR
51,PIT,Zach Frazier,C
84,PIT,Malik Washington,WR
119,PIT,Delmar Glaze,OT
178,PIT,Tommy Eichenberg,LB
195,PIT,Beau Brade,S
