Pick,Team,Name,Pos
1,CHI,Caleb Williams,QB
2,WAS,Jayden Daniels,QB
3,NE,Drake Maye,QB
4,ARI,Marvin Harrison Jr.,WR
5,LAC,Rome Odunze,WR
6,NYG,Malik Nabers,WR
7,TEN,Joe Alt,OT
8,ATL,Dallas Turner,EDGE
9,CHI,Olumuyiwa Fashanu,OT
10,NYJ,Taliese Fuaga,OT
11,MIN,Michael Penix Jr.,QB
12,DEN,J.J. McCarthy,QB
13,LV,JC Latham,OT
14,NO,Troy Fautanu,OT
15,IND,Brock Bowers,TE
16,SEA,Laiatu Latu,EDGE
17,JAX,Terrion Arnold,CB
18,CIN,Byron Murphy,DT
19,LAR,Jared Verse,EDGE
20,PIT,Quinyon Mitchell,CB
21,MIA,Jackson Powers-Johnson,C
22,PHI,Nate Wiggins,CB
23,MIN,Jer’Zhan Newton,DT
24,DAL,Amarius Mims,OT
25,GB,Cooper DeJean,CB
26,TB,Chop Robinson,EDGE
27,ARI,Kool-Aid McKinstry,CB
28,BUF,Adonai Mitchell,WR
29,DET,Darius Robinson,EDGE
30,BAL,Tyler Guyton,OT
31,SAN,Xavier Legette,WR
32,KC,Kingsley Suamataia,OT
0,PHI, Tyler Nubin,S
0,LAV,Bo Nix,QB
0,BAL,Balen Trice,EDGE
0,CIN,Cade Stover,TE
0,DAL,Braelon Allen,RB
0,BAL,Jordan Travis,QB
