Pick,Team,Name,Pos
1,CHI,Caleb Williams,QB
2,WAS,Drake Maye,QB
3,NE,J.J. McCarthy,QB
4,ARI,Marvin Harrison Jr.,WR
5,LAC,Joe Alt,OT
6,MIN,Jayden Daniels,QB
7,TEN,Malik Nabers,WR
8,NO,Amarius Mims,OT
9,CHI,Rome Odunze,WR
10,NYJ,Olumuyiwa Fashanu,OT
11,NYG,Taliese Fuaga,OT
12,DEN,Quinyon Mitchell,CB
13,LV,JC Latham,OT
14,ATL,Dallas Turner,EDGE
15,IND,Brock Bowers,TE
16,BUF,Brian Thomas Jr.,WR
17,JAX,Terrion Arnold,CB
18,CIN,Byron Murphy II,DI
19,LAR,Laiatu Latu,EDGE
20,PIT,Troy Fautanu,OT
21,MIA,Jer'Zhan Newton,DL
22,PHI,Jared Verse,EDGE
23,NYG,Adonai Mitchell,WR
24,DAL,Tyler Guyton,OT
25,GB,Cooper DeJean,CB
26,TB,Graham Barton,OT
27,ARI,Jackson Powers-Johnson,C
28,SEA,Jordan Morgan,OT
29,DET,Darius Robinson,EDGE
30,BAL,Kool-Aid McKinstry,CB
31,SAN,Ladd McConkey,WR
32,KC,Ladd McConkey,WR
33,CAR,Ladd McConkey,WR
37,LAC,Junior Colson,LB
69,LAC,Kris Jenkins,DL
105,LAC,Blake Corum,HB
124,SAN,Isaac Guerendo,HB
128,BUF,Audric Estime,HB
