Pick,Team,Name,Pos
1,CHI,Caleb Williams,QB
2,WAS,Jayden Daniels,QB
3,NE,Drake Maye,QB
4,ARI,Marvin Harrison Jr.,WR
5,LAC,Joe Alt,OT
6,NYG,Malik Nabers,WR
7,TEN,JC Latham,OT
8,ATL,Michael Penix Jr.,QB
9,CHI,Rome Odunze,WR
10,MIN,J.J. McCarthy,QB
11,NYJ,Olumuyiwa Fashanu,OT
12,DEN,Bo Nix,QB
13,LV,Brock Bowers,TE
14,NO,Taliese Fuaga,OT
15,IND,Laiatu Latu,EDGE
16,SEA,Byron Murphy II,DL
17,MIN,Dallas Turner,EDGE
18,CIN,Amarius Mims,OT
19,LAR,Jared Verse,EDGE
20,PIT,Troy Fautanu,OT
21,MIA,Chop Robinson,EDGE
22,PHI,Quinyon Mitchell,CB
23,JAX,Brian Thomas Jr.,WR
24,DET,Terrion Arnold,CB
25,GB,Jordan Morgan,OT
26,BUC,Graham Barton,OT
27,ARI,Darius Robinson,EDGE
28,KC,Xavier Worthy,WR
29,DAL,Tyler Guyton,OT
30,BAL,Nate Wiggins,CB
31,SAN,Ricky Pearsall,WR
32,CAR,Xavier Legette,WR
