Pick,Team,Name,Pos
1,CHI,Caleb Williams,QB
2,WAS,Jayden Daniels,QB
3,NE,Drake Maye,QB
4,ARI,Marvin Harrison Jr.,WR
5,LAC,Malik Nabers,WR
6,NYG,Rome Odunze,WR
7,TEN,Joe Alt,OT
8,ATL,Quinyon Mitchell,CB
9,CHI,Dallas Turner,EDGE
10,DEN,J.J. McCarthy,QB
11,MIN,Michael Penix Jr.,QB
12,NYJ,Amarius Mims,OT
13,LV,Taliese Fuaga,OT
14,NO,Jer'Zhan Newton,DL
15,IND,Brock Bowers,TE
16,SEA,JC Latham,OT
17,JAX,Laiatu Latu,EDGE
18,CIN, Byron Murphy II,DL
19,LAR,Michael Penix Jr.,QB
20,PIT,Graham Barton,OT
21,MIA,Jared Verse,EDGE
22,PHI,Terrion Arnold,CB
23,MIN,Troy Fautanu,OT
24,DAL,Cooper DeJean,CB
25,GB,Olumuyiwa Fashanu,OT
26,BUC,Adisa Isaac,EDGE
27,ARI,Kool-Aid McKinstry,CB
28,BUF,Brian Thomas Jr.,WR
29,DET,Darius Robinson,DL
30,BAL,Tyler Guyton,OT
31,SAN,Jordan Morgan,OT
32,KC,Adonai Mitchell,WR
33,CAR,Xavier Legette,WR
51,PIT,Zach Frazier,C
84,PIT,Malik Washington,WR
119,PIT,Delmar Glaze,OT
178,PIT,Tommy Eichenberg,LB
195,PIT,Beau Brade,S
