Team ,Pick Number,Player Selected ,Position
Bears,1,Caleb Williams ,QB
Commanders,2,Jayden Daniels,QB
Patriots,3,Drake Maye,QB
Cardinals,4,Marvin Harrison Jr,WR
Chargers,5,Malik Nabers,WR
Giants,6,J.J. McCarthy,QB
Titans,7,Joe Alt,OT
Falcons,8,Dallas Turner,Edge
Bears,9,Rome Odunze,WR
Jets,10,Brock Bowers,TE
Vikings,11,Bo Nix,QB
Broncos,12,Laiatu Latu,Edge
Raiders,13,Michael Penix Jr,QB
Saints,14,Olumuyiwa Fashanu,OT
Colts,15,Brian Thomas Jr,WR
Seahawks,16,Troy Fautanu,OT
Jaguars,17,Quinyon Mitchell,CB
Bengals,18,J.C. Latham,OT
Rams,19,Jared Verse,Edge
Steelers,20,Jackson Powers-Johnson,C
Dolphins,21,Graham Barton,OT
Eagles,22,Cooper Dejan,CB
Vikings,23,Byron Murphy II,DL
Cowboys,24,Talies Fuaga,OT
Packers,25,Tyler Guyton,OT
Buccaneers,26,Nate Wiggins,CB
Cardinals,27,Darius Robinson,Edge
Bills,28,Adonai Mitchell,WR
Lions,29,Kool-Aid Mckinstry,CB
Ravens,30,Jordan Morgan,OT
49ers,31,Kingsley Suamataia,OT
Chiefs,32,Xavier Legette,WR
,,,
Patriots,34,Troy Franklin ,WR
Steelers,51,Ladd McConkey,WR
Rams,52,Zach Frazier ,C
,,,
Panthers,101,Will Shipley,HB
Ravens,113,Layden Robinson,OG
Rams,154,Sam Hartman ,QB
