1,CHI,Caleb Williams,QB
2,WAS,Jayden Daniels,QB
3,NE,Drake Maye,QB
4,ARI,Marvin Harrison Jr.,WR
5,LAC,Malik Nabers,WR
6,NYG,Rome Odunze,WR
7,TEN,Joe Alt,OT
8,ATL,Dallas Turner,EDGE
9,CHI,Quinyon Mitchell,CB
10,NYJ,Troy Fautanu,OT
11,MIN,J.J. McCarthy,QB
12,DEN,Brock Bowers,TE
13,LV,Michael Penix Jr.,QB
14,NO,Olumuyiwa Fashanu,OT
15,IND,Terrion Arnold,CB
16,SEA,Jared Verse,EDGE
17,JAX,Cooper DeJean,CB
18,CIN,JC Latham,OT
19,LAR,Byron Murphy II,DL
20,PIT,Graham Barton,OT
21,MIA,Taliese Fuaga,OT
22,PHI,Amarius Mims,OT
23,MIN,Jer'Zhan Newton,DL
24,DAL,Tyler Guyton,OT
25,GB,Laiatu Latu,EDGE
26,TB,Chop Robinson,EDGE
27,ARI,Nate Wiggins,CB
28,BUF,Brian Thomas Jr.,WR
29,DET,Kool-Aid McKinstry,CB
30,BAL,Adisa Isaac,EDGE
31,SF,Jackson Powers-Johnson,C
32,KC,Adonai Mitchell,WR
33,CAR,Darius Robinson,EDGE
34,NE,Keon Coleman,WR
35,ARI,Jordan Morgan,OT
119,PIT,Luke McCaffrey,WR
178,PIT,Joe Milton III,QB
195,PIT,Josh Proctor,S
