Pick,Team,Name,Position
1,Chicago,Caleb Williams,QB
2,Washington,Drake Maye,QB
3,New England,JJ McCarthy,QB
4,Arizona,Marvin Harrison Jr.,WR
5,LA Chargers,Joe Alt,OT
6,Minnesota,Jayden Daniels,QB
7,Tennessee,Malik Nabers,WR
8,New Orleans,Amarius Mims,OT
9,Chicago,Rome Odunze,WR
10,NY Jets,Olumuyiwa Fashanu,OT
11,NY Giants,Taliese Fuaga,OT
12,Denver,Quinyon Mitchell,CB
13,Las Vegas,JC Latham,OT
14,Atlanta,Dallas Turner,EDGE
15,Indianapolis,Brock Bowers,TE
16,Buffalo,Brian Thomas Jr.,WR
17,Jacksonville,Terrion Arnold,CB
18,Cincinnati,Byron Murphy II,DI
19,LA Rams,Laiatu Latu,EDGE
20,Pittsburgh,Troy Fautanu,OT
21,Miami,Jer'Zhan Newton,DI
22,Philadelphia,Jared Verse,EDGE
23,NY Giants,Adonai Mitchell,WR
24,Dallas,Tyler Guyton,OT
25,Green Bay,Cooper DeJean,CB
26,Tampa Bay,Graham Barton,OT
27,Arizona,Jackson Powers-Johnson,C
28,Seattle,Jordan Morgan,OT
29,Detroit,Darius Robinson,EDGE
30,Baltimore,Kool-Aid McKinstry,CB
31,San Francisco,Ladd McConkey,WR
32,Kansas City,Ladd McConkey,WR
,,,
33,Carolina,Ladd McConkey,WR
37,LA Chargers,Junior Colson,LB
69,LA Chargers,Kris Jenkins,DI
,,,
105,LA Chargers,Blake Corum,HB
124,San Francisco,Isaac Guerendo,HB
128,Buffalo,Audric Estime,HB
